Decoder Obj_Detector
0.030148 0.011891
0.027170 0.011780
0.027480 0.012028
0.031549 0.012266
0.028118 0.011810
0.027591 0.011938
0.027710 0.012031
0.027592 0.012080
0.027094 0.011814
0.030664 0.011979
0.034124 0.012521
0.028053 0.013002
0.027777 0.011748
0.027862 0.012807
0.027156 0.012667
0.030674 0.012076
0.027492 0.012261
0.045132 0.012328
0.027740 0.012009
0.028188 0.012064
0.027653 0.012779
0.029619 0.012679
0.033915 0.012969
0.028391 0.012008
0.027484 0.011960
0.027597 0.012814
0.027488 0.012030
0.027265 0.011756
0.027604 0.011790
0.027776 0.011829
0.027623 0.012220
0.027742 0.012079
0.029642 0.011954
0.027537 0.011814
0.030212 0.012898
0.029341 0.011859
0.028831 0.012042
0.028099 0.012065
0.034332 0.012378
0.028841 0.012013
0.029164 0.012262
0.027334 0.011885
0.027334 0.011897
0.027968 0.012223
0.027993 0.013021
0.027261 0.012048
0.043208 0.014394
0.028031 0.012249
0.027206 0.011996
0.027645 0.012065
0.027669 0.011965
0.027523 0.012060
0.028510 0.011891
0.027218 0.012403
0.032674 0.011924
0.027476 0.011895
0.027123 0.012129
0.030797 0.011885
0.034452 0.013581
0.027098 0.011789
0.027108 0.011939
0.027973 0.011879
0.027779 0.012889
0.028692 0.012764
0.028114 0.012825
0.029320 0.012221
0.044496 0.012374
0.027877 0.012978
0.027863 0.011975
0.027020 0.012061
0.040203 0.014520
0.035271 0.012396
0.027064 0.012507
0.025876 0.012269
0.026150 0.012175
0.026886 0.012500
0.027268 0.012974
0.026619 0.011984
0.028280 0.012160
0.040183 0.013103
0.026251 0.012877
0.026387 0.012075
0.027003 0.012338
0.028543 0.011944
0.026443 0.011845
0.026152 0.012268
0.028873 0.012825
0.027893 0.013089
0.026631 0.012228
0.026347 0.011888
0.028074 0.012103
0.026049 0.012124
0.025825 0.012130
0.025400 0.012072
0.026129 0.012285
0.026230 0.012249
0.027623 0.012285
0.025790 0.012200
0.025936 0.012260
0.027102 0.012129
0.026164 0.012402
0.025302 0.013749
0.029049 0.011992
0.025655 0.012153
0.025861 0.011880
0.025733 0.011847
0.025476 0.011785
0.025724 0.012190
0.025606 0.012125
0.026402 0.012018
0.033904 0.014334
0.029119 0.012997
0.025831 0.012223
0.027580 0.012079
0.026779 0.012908
0.026956 0.012228
0.025913 0.012239
0.026024 0.012110
0.045408 0.012819
0.025909 0.013051
0.026246 0.012370
0.026950 0.011988
0.025914 0.012582
0.025799 0.012224
0.026399 0.013170
0.026220 0.012395
0.036354 0.012361
0.026011 0.012264
0.026649 0.012521
0.026143 0.012099
0.025793 0.011906
0.026866 0.012006
0.026561 0.012163
0.027960 0.012287
0.028177 0.012526
0.026261 0.012444
0.027840 0.012255
0.026073 0.012380
0.027364 0.011954
0.045426 0.013155
0.026300 0.012089
0.025939 0.012182
0.025699 0.012193
0.026470 0.011998
0.025950 0.011942
0.025747 0.012172
0.025835 0.012327
0.025713 0.012018
0.025437 0.012156
0.034757 0.012153
0.027262 0.012330
0.026143 0.012629
0.026282 0.012091
0.025896 0.012001
0.026714 0.012419
0.027663 0.012372
0.026078 0.012008
0.027684 0.012154
0.026187 0.012254
0.026668 0.011932
0.028170 0.012329
0.033083 0.013229
0.025119 0.012057
0.025353 0.012139
0.025656 0.011975
0.025606 0.011934
0.039927 0.012746
0.025662 0.012172
0.034085 0.012488
0.033270 0.011974
0.028520 0.011870
0.028343 0.011997
0.026026 0.012020
0.030575 0.012177
0.025931 0.012114
0.025500 0.012176
0.037247 0.012731
0.028283 0.012679
0.030134 0.013831
0.025869 0.012946
0.026636 0.012707
0.027545 0.012043
0.025842 0.011872
0.026408 0.012017
0.025947 0.013287
0.025652 0.012307
0.026551 0.012387
0.025735 0.011952
0.026568 0.012218
0.034135 0.012847
0.026236 0.012082
0.027721 0.013148
0.027056 0.012101
0.026397 0.012159
0.026492 0.012289
0.028452 0.012697
0.025954 0.012106
0.026387 0.012170
0.026951 0.012934
0.026634 0.012402
0.025814 0.012202
0.025907 0.012417
0.027955 0.014191
0.026636 0.012824
0.027579 0.013191
0.025959 0.014028
0.028072 0.013017
0.025781 0.012550
0.038253 0.012124
0.026364 0.012986
0.026284 0.012221
0.026469 0.012095
0.026527 0.012256
0.029119 0.012024
0.026349 0.012109
0.026872 0.012298
0.026333 0.012909
0.025779 0.012123
0.026939 0.011864
0.026768 0.012240
0.025504 0.011710
0.025654 0.013636
0.030811 0.012622
0.025426 0.012177
0.026508 0.012220
0.026218 0.012196
0.045049 0.012512
0.027169 0.012136
0.026897 0.011971
0.026433 0.011887
0.028012 0.011886
0.025842 0.012870
0.025928 0.012304
0.029012 0.012318
