Decoder Obj_Detector
0.003917 0.065991
0.004120 0.065924
0.003990 0.067871
0.004004 0.066240
0.004053 0.071798
0.004067 0.069138
0.004070 0.070549
0.004134 0.069043
0.004341 0.109233
0.003853 0.064044
0.003854 0.066415
0.004028 0.067221
0.004202 0.074840
0.004204 0.073908
0.003932 0.064985
0.003809 0.064592
0.003790 0.064824
0.003889 0.070571
0.004053 0.072623
0.004186 0.073668
0.003928 0.067262
0.003983 0.067403
0.004035 0.067441
0.004083 0.080732
0.005277 0.077292
0.004109 0.067274
0.003881 0.064804
0.004052 0.066406
0.004275 0.075071
0.004230 0.066685
0.004043 0.067849
0.004121 0.067217
0.004088 0.071437
0.004435 0.078442
0.004197 0.086096
0.003850 0.065698
0.003864 0.067725
0.003906 0.091575
0.004137 0.084339
0.006665 0.085742
0.003837 0.065930
0.003934 0.065675
0.003797 0.065772
0.003866 0.065249
0.004048 0.067847
0.004249 0.073101
0.004216 0.072353
0.004208 0.068711
0.003931 0.067517
0.003876 0.066585
0.003987 0.067071
0.003854 0.068313
0.003933 0.067290
0.004064 0.065751
0.006589 0.086208
0.004077 0.079516
0.003982 0.070245
0.004105 0.069584
0.004015 0.068692
0.003897 0.081943
0.004003 0.065380
0.003947 0.070793
0.004145 0.068871
0.004129 0.069271
0.004139 0.069684
0.004203 0.067587
0.004017 0.069501
0.004152 0.069749
0.004155 0.069888
0.004084 0.072002
0.004065 0.070406
0.004042 0.069388
0.003945 0.068283
0.003959 0.067750
0.003993 0.067816
0.003981 0.066205
0.003893 0.070129
0.004031 0.067578
0.003997 0.066361
0.003917 0.067574
0.003971 0.064544
0.004002 0.066799
0.004021 0.063956
0.003846 0.066561
0.003814 0.067274
0.003956 0.066650
0.003934 0.065185
0.003908 0.067053
0.004098 0.065997
0.003847 0.065708
0.003912 0.065931
0.003867 0.065727
0.003880 0.066987
0.003930 0.067280
0.004079 0.068695
0.003896 0.069625
0.004216 0.069199
0.003924 0.067523
0.004082 0.068069
0.003958 0.072471
0.003914 0.064671
0.003914 0.068633
0.003983 0.067631
0.003835 0.068088
0.003912 0.067007
0.003964 0.067967
0.004064 0.075216
0.004393 0.078036
0.003968 0.067321
0.004038 0.066638
0.004161 0.069559
0.003973 0.070884
0.004181 0.070570
0.004101 0.067907
0.004140 0.073344
0.004250 0.090721
0.004071 0.085103
0.003943 0.072186
0.004388 0.070871
0.004027 0.068975
0.004072 0.068911
0.004179 0.069014
0.004250 0.068947
0.005098 0.074348
0.004152 0.071568
0.004375 0.081559
0.004614 0.077464
